station,lat,lon
4821.10,40.70076308326151,-73.98869812488556
4824.03,40.699304,-73.923044
4826.04,40.6991049,-73.960633406
4829.01,40.70037867,-73.99548059
4830.02,40.70055,-73.8943
4832.07,40.70112,-73.93039
4837.03,40.69969,-73.9022
4840.06,40.70099,-73.93921
4843.01,40.6999974843885,-73.97440128028393
4846.01,40.70122128,-74.01234218
4847.03,40.699871408829885,-73.91171872615814
4850.04,40.69957608,-73.94708417
4853.06,40.70133448066992,-73.98471236228943
4856.05,40.70108,-73.9179
4861.05,40.7003,-73.991581
4862.04,40.70117,-73.8904
4862.07,40.69953,-73.88873
4864.09,40.70166,-73.92754
4871.02,40.70067,-73.89907
4873.08,40.70106,-73.93318
4880.11,40.70183,-73.90625
4883.03,40.7016657,-73.9437303
4889.06,40.701907,-74.013942
4890.11,40.70113,-73.91422
4895.03,40.702461,-73.986842
4895.09,40.70140317257725,-73.98672670125961
4895.15,40.70140463410644,-73.98768022656441
4898.02,40.7027,-73.92095
4903.08,40.70277159,-73.99383605
4903.09,40.702709,-73.99253
4904.03,40.70204,-73.89288
4906.07,40.702997,-73.92997
4912.10,40.70229,-73.90145
4914.03,40.70076,-73.93641
4920.13,40.70188858913366,-74.01089876890182
4921.04,40.70157340873792,-73.90876293182373
4927.04,40.70224,-73.982578
4931.05,40.703545,-73.917775
4933.03,40.702753,-73.953168
4936.21,40.70378167354831,-73.99073392152786
4939.07,40.702013,-73.923769
4945.06,40.70311,-73.89547
4947.04,40.702831,-73.9333
4953.04,40.70355377,-74.00670227
4954.07,40.70408,-73.90408
4956.02,40.7031724,-73.940636
4962.01,40.70463334,-74.01361706
4962.02,40.70366170524135,-74.0131813287735
4962.08,40.70365182,-74.01167797
4963.13,40.70461,-73.91054
4965.01,40.70411791,-73.94818595
4968.03,40.70296934155272,-73.98469090461731
4971.01,40.704876,-73.919911
4977.03,40.70389,-73.89116
4979.07,40.704425,-73.92836
4982.02,40.705774,-73.963252
4985.09,40.70497,-73.89965
4987.06,40.704508,-73.9351
4990.02,40.70514807698391,-73.97078096866608
4993.02,40.7047177,-74.00926027
4993.13,40.70336686695866,-74.007867872715
4993.15,40.70469667894968,-74.00803416967392
4994.10,40.70413,-73.90737
4996.08,40.70510918,-73.94407279
5001.08,40.70569254,-74.01677685
5002.09,40.70577,-73.91292
5004.02,40.70538077,-73.94976519
5010.02,40.705614,-73.92153
5018.06,40.70539,-73.92976
5021.05,40.706563674670925,-73.9683187007904
5024.10,40.706410755236135,-74.00559738278389
5025.02,40.70555,-73.90245
5027.02,40.705517,-73.93936
5033.01,40.705945132708806,-74.01321887969969
5034.03,40.70553,-73.9096
5036.06,40.70583339,-73.94644578
5043.06,40.70636,-73.91945
5045.05,40.70684203101325,-73.9544353965357
5051.01,40.707165,-73.923711
5051.02,40.70538,-73.92535
5053.01,40.706732,-73.961241
5057.07,40.70575,-73.89676
5057.09,40.70809,-73.89549
5059.02,40.706237,-73.933871
5065.04,40.70862144,-74.00722156
5065.10,40.70706456,-74.00731853
5065.12,40.70717936,-74.00887308
5065.14,40.70838,-74.00495
5066.03,40.70694,-73.90632
5068.02,40.70767788,-73.94016171
5073.07,40.70806582380646,-74.0135595202446
5073.07_Pillar,40.70817,-74.01346
5074.08,40.70793,-73.91092
5076.04,40.708323,-73.948732
5082.08,40.70907,-73.92157
5084.03,40.70708701,-73.95796783
5090.06,40.70686,-73.92851
5093.01,40.70853074,-73.96408963
5096.12,40.7075188830923,-74.00108054280281
5097.02,40.70886,-73.90182
5099.02,40.71019,-73.93734
5099.03,40.707174,-73.93581
5105.01,40.70905623,-74.01043382
5106.04,40.709697,-73.907856
5108.01,40.70870368,-73.9448625
5114.06,40.70834698,-74.01713445
5114.08,40.709957,-74.016538
5115.01,40.70863,-73.91497
5115.05,40.7098,-73.91727
5117.05,40.70877084,-73.95095259
5123.07,40.70869,-73.92587
5125.03,40.710451,-73.960876
5125.07,40.70924826276157,-73.96063148975372
5128.04,40.71117444,-73.99682619
5129.01,40.70929,-73.89441
5134.09,40.710888,-73.968329
5137.10,40.71146364,-74.00552427
5137.11,40.70960089363537,-74.00655090808868
5137.13,40.7103231,-74.0043228
5138.03,40.71107,-73.903
5140.06,40.709897,-73.94008
5145.02,40.709267,-74.013247
5146.03,40.70998,-73.91116
5148.03,40.7103685423523,-73.94705951213837
5156.05,40.70934,-73.95608
5159.04,40.71173107,-73.99193043
5159.07,40.70991806921533,-73.99161100387573
5160.01,40.71225,-73.89111
5164.05,40.71036129922581,-73.96530389785767
5167.06,40.71117416,-74.00016545
5168.04,40.71032,-73.89955
5170.01,40.710681,-73.93372
5175.08,40.711066,-74.009447
5176.04,40.7107,-73.90525
5178.06,40.711863,-73.944024
5181.04,40.71219906,-73.97948148
5184.08,40.711444,-74.014847
5187.03,40.71167351,-73.95141312
